st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK166,0,0,0,,6-7,13,13,.37142858,.43333334,-.085061394,.058836211,.012919566,.079971671,0,3,3,2,2,1,0,0,1-2 hours,4-7,15,16,.47058824,.5,.52669996,.53318554,-.24544731,-.13085227,1,Tekhand,12,1,7,0,14,-1.3373805,0,0,0,1,0,0
TK167,1,1,1,1-2 hours,6-7,17,14,.40000001,.56666666,.63073242,.54984814,.60206199,.53262639,1,4,4,3,3,0,1,0,,4-7,11,12,.35294119,.36666667,-.48819405,-.22223295,-.48618111,-.31459165,1,Tekhand,12,1,7,0,19,-1.4180956,0,0,0,1,0,0
TK168,1,1,0,1-2 hours,6-7,13,15,.42857143,.43333334,.72663528,.68807483,-.18445903,-.11891934,1,5,3,3,2,0,0,1,,4-7,19,20,.58823532,.63333333,.93949556,.78932464,.70181042,.61107486,1,Tekhand,11,1,6,1,17,-2.1740279,0,0,1,0,0,0
TK169,1,0,0,2-3 hours,6-7,19,8,.22857143,.63333333,-1.126241,-.77262473,.89283735,.83639318,1,2,5,2,3,0,0,1,,4-7,24,13,.38235295,.80000001,.30535343,.30914474,1.4881597,1.2321811,1,Tekhand,12,1,,1,19,-.58144826,,,,,,
TK171,1,1,1,Less than 1 hour,6-7,7,8,.22857143,.23333333,-.14584944,-.034191549,-1.3263927,-1.0081627,1,3,1,2,1,1,1,1,1-2 hours,4-7,17,13,.38235295,.56666666,-.069238946,.056596227,-.22816581,-.14778388,1,Tekhand,11,1,6,1,19,-1.4440095,0,0,1,0,0,0
TK172,1,0,0,1-2 hours,6-7,20,19,.54285717,.66666669,1.765617,1.3802986,1.1456257,.99534988,1,5,5,3,3,,,,,,,,,,,,,,,Tekhand,13,1,7,0,19,.15992528,0,0,0,1,0,0
TK173,1,1,1,Less than 1 hour,6-7,9,10,.2857143,.30000001,-.25369781,-.11950197,-.63429356,-.42045245,1,2,2,2,2,0,0,1,,4-7,12,21,.61764705,.40000001,.64437312,.6128487,-.76736957,-.51057178,1,Tekhand,9,0,6,1,12,-2.106704,0,0,1,0,0,0
TK174,1,1,0,Less than 1 hour,6-7,12,14,.40000001,.40000001,.49126288,.53932136,-.22647245,-.10099309,1,4,3,3,2,1,0,0,1-2 hours,4-7,14,14,.41176471,.46666667,.37279379,.37020463,-.18855783,-.070968792,1,Tekhand,12,0,7,0,12,-.54562366,0,0,0,1,0,0
TK175,1,1,1,Less than 1 hour,6-7,16,12,.34285715,.53333336,.49718338,.486774,.5231207,.48008671,1,5,5,3,3,0,0,1,,4-7,10,27,.79411763,.33333334,2.026644,1.6381496,-.98393887,-.71249628,1,Tekhand,10,0,6,0,12,.59565228,0,0,1,0,0,0
TK176,1,1,0,1-2 hours,8-9,20,16,.45714286,.66666669,1.5512234,1.3540727,1.9869245,1.7217206,1,5,5,3,3,0,0,1,,8-9,22,27,.77142859,.73333335,2.4433937,1.9708519,1.5268191,1.3565917,1,Tekhand,15,0,9,1,12,.22369985,0,0,0,0,0,1
