st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK233,1,0,0,1-2 hours,6-7,8,15,.42857143,.26666668,.63507104,.62359631,-1.3386347,-1.2371557,1,5,1,3,1,1,0,0,More than 4 hours,4-7,10,13,.38235295,.33333334,.18939102,.2592676,-1.1915927,-.91084945,1,Tekhand,10,1,6,0,19,-.54908311,0,0,1,0,0,0
TK234,1,1,1,More than 4 hours,6-7,14,17,.48571429,.46666667,1.5243477,1.2576222,.11147466,.16481049,1,5,3,3,2,0,0,1,,4-7,25,24,.70588237,.83333331,1.8727634,1.4576985,1.8963345,1.6980695,1,Tekhand,13,1,7,0,17,.33890334,0,0,0,1,0,0
TK235,1,1,1,More than 4 hours,8-9,8,12,.34285715,.26666668,.56126088,.56483787,-.64890623,-.52892518,1,4,1,2,1,,,,,,,,,,,,,,,Tekhand,14,1,8,1,17,-1.4818702,0,0,0,0,1,0
TK236,1,1,0,1-2 hours,6-7,16,14,.40000001,.53333336,.20696332,.29318392,.6305604,.55741072,1,4,4,2,3,0,0,1,,4-7,19,17,.5,.63333333,1.0025314,.83527839,.81610376,.72505599,1,Tekhand,12,1,7,0,15,-2.2497015,0,0,0,1,0,0
TK237,1,0,0,1-2 hours,6-7,17,13,.37142858,.56666666,.72617227,.61389303,.60217047,.55525637,1,5,4,3,3,0,0,1,,4-7,22,22,.64705884,.73333335,1.4830885,1.226397,1.1415416,.9428342,1,Tekhand,12,1,7,0,19,-4.9574151,0,0,0,1,0,0
TK240,0,0,1,,6-7,18,9,.25714287,.60000002,-.12407792,-.050359901,.96955848,.86201018,1,4,5,2,3,,,,,,,,,,,,,,,Tekhand,13,1,,0,19,2.0947354,,,,,,
TK241,0,0,1,,8-9,8,14,.40000001,.26666668,.77132088,.75944149,-.18380453,-.071701333,1,4,2,3,2,0,0,1,,8-9,14,18,.51428574,.46666667,.9960745,.83137357,.23611492,.25789326,1,Tekhand,14,1,8,1,14,-.63183159,0,0,0,0,1,0
TK242,0,1,0,,8-9,12,10,.2857143,.40000001,-.77074617,-.49903169,-.14501834,.013526666,1,3,3,2,2,0,0,1,,8-9,4,14,.40000001,.13333334,-.4467667,-.26969373,-1.7434976,-2.037926,1,Tekhand,13,1,,0,19,-.10989664,,,,,,
TK243,0,0,1,,8-9,20,10,.2857143,.66666669,.38497907,.38108638,1.5129266,1.2882593,1,3,5,2,3,,,,,,,,,,,,,,,Tekhand,13,1,8,0,17,-.16027994,0,0,0,0,1,0
TK244,0,0,0,,6-7,8,9,.25714287,.26666668,-1.923859,-2.8800528,-1.8342571,-2.6252916,0,1,1,1,1,,,,,,,,,,,,,,,Tekhand,,0,6,1,12,-4.1903148,0,0,1,0,0,0
TK245,0,0,1,,6-7,15,9,.25714287,.5,-.085399926,.0045390893,.17762186,.19852589,1,3,4,2,3,0,0,1,,4-7,26,25,.7352941,.86666667,1.8216108,1.413878,1.9233284,1.7538351,1,Tekhand,12,1,6,0,14,.12410065,0,0,1,0,0,0
TK246,1,0,0,Less than 1 hour,6-7,19,16,.45714286,.63333333,.90457624,.82846707,.85700148,.8208136,1,5,5,3,3,0,0,1,,4-7,24,27,.79411763,.80000001,2.4228704,1.8881294,1.6261472,1.3437042,1,Tekhand,11,1,6,1,14,.92924875,0,0,1,0,0,0
TK247,0,0,0,,6-7,20,12,.34285715,.66666669,.4049767,.39992037,.73577207,.72858083,0,4,5,3,3,0,0,1,,4-7,20,14,.41176471,.66666669,.17922772,.25024107,.79062456,.70888096,1,Tekhand,12,1,7,0,17,1.6909915,0,0,0,1,0,0
TK248,0,0,1,,8-9,10,2,.057142857,.33333334,-1.5512671,-1.233205,-.1109934,.054635931,1,1,2,1,2,0,0,1,,8-9,18,14,.40000001,.60000002,.40514958,.40040007,.57019722,.51106471,1,Tekhand,14,1,8,1,17,-.16027994,0,0,0,0,1,0
TK249,1,1,1,More than 4 hours,8-9,11,15,.42857143,.36666667,.5248729,.49837506,-.22623619,-.14594212,1,3,2,2,2,0,0,1,,8-9,21,18,.51428574,.69999999,.70395017,.63158792,.87998927,.76652914,1,Tekhand,12,1,8,1,17,-2.2406566,0,0,0,0,1,0
TK251,1,1,1,More than 4 hours,8-9,15,11,.31428573,.5,.23941714,.26730654,1.0485042,.95161504,1,3,4,2,3,1,0,0,Less than 1 hour,8-9,19,19,.54285717,.63333333,1.0242183,.84446234,.94495875,.81799966,1,Tekhand,13,1,8,0,15,-.86582887,0,0,0,0,1,0
TK252,0,1,0,,6-7,9,9,.25714287,.30000001,.12692024,.19661714,-.73154044,-.50313741,1,4,2,2,2,0,1,0,,4-7,8,11,.32352942,.26666668,-.29606104,-.11119894,-.84483224,-.61489934,1,Tekhand,10,1,6,0,17,-.58144826,0,0,1,0,0,0
TK254,0,0,0,,6-7,8,4,.11428571,.26666668,-1.9745135,-2.2360446,-1.3532281,-1.1580195,0,1,1,1,1,,,,,,,,,,,,,,,Tekhand,11,1,6,0,14,-3.9299805,0,0,1,0,0,0
TK256,1,1,1,More than 4 hours,6-7,17,11,.31428573,.56666666,.24056415,.25709775,.11732017,.21804294,1,4,4,3,3,0,0,0,,4-7,17,23,.67647058,.56666666,.98978311,.77603781,.5147354,.48685104,0,Tekhand,11,1,6,1,15,2.3849266,0,0,1,0,0,0
TK257,1,1,1,More than 4 hours,8-9,10,10,.2857143,.33333334,-.11581014,-.0094653638,-.19759536,-.065426722,1,2,2,2,2,0,0,1,,8-9,16,19,.54285717,.53333336,.93644011,.79299003,.52676964,.49644849,1,Tekhand,12,1,8,0,14,.18029445,0,0,0,0,1,0
TK258,0,0,0,,8-9,10,14,.40000001,.33333334,1.1691478,1.1047918,-.087395228,.025768161,0,5,2,3,2,0,0,0,,8-9,12,14,.40000001,.40000001,.24151875,.31988338,-.61036986,-.41972634,0,Tekhand,13,1,8,0,14,1.4008003,0,0,0,0,1,0
TK259,0,0,0,,8-9,9,7,.2,.30000001,-.45014456,-.2820738,-.29206598,-.082639657,0,2,2,1,2,0,0,1,,8-9,11,20,.5714286,.36666667,.90007329,.79878849,-1.0084119,-.71574223,1,Tekhand,14,1,8,1,14,-2.0743389,0,0,0,0,1,0
TK260,1,0,0,Less than 1 hour,8-9,10,10,.2857143,.33333334,-.62570834,-.47000846,.092375256,.19712333,1,1,2,1,2,1,0,0,Less than 1 hour,8-9,20,14,.40000001,.66666669,.66925734,.59456903,1.0802978,.96204519,1,Tekhand,14,1,9,0,16,.59565228,0,0,0,0,0,1
TK261,0,0,1,,6-7,18,18,.51428574,.60000002,.9313423,1.0166557,.82373613,.74776697,1,5,5,3,3,0,0,1,,4-7,20,18,.52941179,.66666669,.93722171,.80249429,.79910821,.70371556,1,Tekhand,12,1,7,0,14,1.9133749,0,0,0,1,0,0
TK263,0,1,0,,6-7,12,12,.34285715,.40000001,.15115358,.21032146,-.63480681,-.43060455,1,4,2,2,2,1,0,0,More than 4 hours,4-7,19,19,.55882353,.63333333,1.045777,.8553766,.20478146,.23915532,1,Tekhand,11,1,6,1,15,-1.3373805,0,0,1,0,0,0
TK264,1,0,0,Less than 1 hour,6-7,15,14,.40000001,.5,.63371325,.54220933,.34450108,.38547841,1,5,5,3,3,1,1,0,Less than 1 hour,4-7,14,19,.55882353,.46666667,.40664646,.40583858,-.4948445,-.37795988,1,Tekhand,12,1,6,0,15,-2.106704,0,0,1,0,0,0
TK265,1,0,0,2-3 hours,6-7,13,16,.45714286,.43333334,.83778054,.78303838,-.37890869,-.26339921,1,5,3,3,2,1,0,0,2-3 hours,4-7,16,17,.5,.53333336,.61951995,.52911735,.3143715,.28607899,1,Tekhand,11,1,6,0,14,.17331654,0,0,1,0,0,0
TK266,0,0,1,,6-7,15,11,.31428573,.5,.29636455,.25930521,-.44669974,-.31785521,1,4,3,3,2,,,,,,,,,,,,,,,Tekhand,12,1,6,1,15,-.54562366,0,0,1,0,0,0
TK268,0,0,0,,6-7,17,12,.34285715,.56666666,.62356985,.58046186,.3185969,.33599472,0,4,4,3,2,0,0,1,,4-7,18,20,.58823532,.60000002,.94685853,.78869855,.81557924,.73835063,1,Tekhand,13,1,7,0,17,-.5447939,0,0,0,1,0,0
TK269,1,1,1,1-2 hours,8-9,13,5,.14285715,.43333334,-1.7823992,-2.3068433,.29624331,.31053954,1,1,3,1,2,0,0,1,,8-9,18,15,.42857143,.60000002,.71655536,.60496396,.47668287,.4472886,1,Tekhand,13,1,8,0,17,-2.0105643,0,0,0,0,1,0
TK271,1,1,0,,6-7,16,12,.34285715,.53333336,.50966036,.39476731,.27884763,.29551139,1,4,3,3,2,,,,,,,,,,,,,,,Tekhand,14,0,7,1,13,2.8247538,0,0,0,1,0,0
TK272,1,1,1,More than 4 hours,8-9,11,9,.25714287,.36666667,-.56185114,-.40106457,.00024780759,.1205401,1,1,3,1,2,0,0,1,,8-9,12,13,.37142858,.40000001,-.089408703,.042265806,-.94975114,-.71189517,1,Tekhand,13,1,8,0,14,1.9133749,0,0,0,0,1,0
TK273,1,1,1,More than 4 hours,8-9,9,12,.34285715,.30000001,.5795899,.55912673,-.3399643,-.23074698,1,4,2,2,1,0,0,1,,8-9,21,23,.65714288,.69999999,1.9294418,1.4826705,1.0855349,.95226014,1,Tekhand,13,1,8,1,14,-.060680747,0,0,0,0,1,0
TK274,1,1,1,1-2 hours,6-7,9,9,.25714287,.30000001,-.59976745,-.32925543,-.88084441,-.69001532,1,2,2,1,1,1,0,0,Less than 1 hour,4-7,9,13,.38235295,.30000001,-.057075627,.035642959,-1.1013983,-.79241782,1,Tekhand,11,1,6,1,17,-3.6165352,0,0,1,0,0,0
TK275,1,1,1,More than 4 hours,6-7,17,8,.22857143,.56666666,-.57707113,-.28994885,.7224673,.69739121,1,2,4,1,3,0,0,1,,4-7,13,11,.32352942,.43333334,-.69727075,-.42112234,-.029899865,.056260493,1,Tekhand,13,1,7,1,18,-1.3050153,0,0,0,1,0,0
TK276,1,1,1,More than 4 hours,6-7,17,10,.2857143,.56666666,-.03932409,.07783021,.66582763,.61437285,1,3,4,2,3,1,0,0,1-2 hours,4-7,17,10,.29411766,.56666666,-.41677344,-.16379085,.4340952,.40066528,1,Tekhand,10,1,7,0,18,-.7830804,0,0,0,1,0,0
TK277,1,1,1,1-2 hours,6-7,8,14,.40000001,.26666668,.3649247,.38773024,-.98388231,-.74543631,1,4,2,3,1,1,0,0,1-2 hours,4-7,7,15,.44117647,.23333333,.49127907,.48426223,-1.3903277,-1.0323267,1,Tekhand,11,1,6,0,17,-2.7798877,0,0,1,0,0,0
TK278,0,0,0,,6-7,17,11,.31428573,.56666666,.025833718,.090673797,.38969773,.46023053,0,3,5,2,3,0,1,0,,4-7,19,22,.64705884,.63333333,1.436221,1.1555983,.86652732,.76539427,1,Tekhand,,1,6,0,17,-1.1916791,0,0,1,0,0,0
TK279,1,1,1,Less than 1 hour,6-7,16,6,.17142858,.53333336,-1.2188009,-.83856976,.25923651,.2960203,1,1,4,1,3,0,0,1,,4-7,19,19,.55882353,.63333333,.61864126,.53435606,.67611879,.60716611,1,Tekhand,11,1,6,0,14,2.6433933,0,0,1,0,0,0
TK281,1,1,1,More than 4 hours,8-9,6,11,.31428573,.2,.26366627,.32800591,-.86833996,-.84365505,1,3,1,2,1,0,0,1,,8-9,20,25,.71428573,.66666669,1.9503509,1.5273081,.82400405,.71927029,1,Tekhand,13,1,8,1,14,-.5322324,0,0,0,0,1,0
TK282,0,1,0,,8-9,8,3,.085714288,.26666668,-2.1762857,-3.364392,-.61684817,-.46209708,1,1,1,1,1,0,1,0,,8-9,13,7,.2,.43333334,-1.8930553,-2.5540161,-.43769839,-.27903411,1,Tekhand,12,1,8,0,19,1.0325296,0,0,0,0,1,0
TK283,1,1,1,More than 4 hours,6-7,7,12,.34285715,.23333333,-.39725712,-.20461337,-1.5522571,-1.3183196,1,2,1,2,1,,,,,4-7,0,11,.32352942,0,-.58956057,-.30896795,,,,Tekhand,14,0,7,0,19,-.71254671,0,0,0,1,0,0
TK284,1,1,1,1-2 hours,8-9,9,6,.17142858,.30000001,-1.2658089,-1.033412,-.40655482,-.23181614,1,1,1,1,1,0,0,1,,8-9,19,17,.48571429,.63333333,.44145989,.42716616,.41984203,.41584572,1,Tekhand,13,1,9,1,14,-.17367122,0,0,0,0,0,1
TK285,1,1,1,More than 4 hours,8-9,11,8,.22857143,.36666667,.035317473,.083078638,.24059062,.34111524,1,2,3,1,2,,,,,,,,,,,,,,,Tekhand,14,0,9,0,12,.86725163,0,0,0,0,0,1
TK286,1,1,1,More than 4 hours,8-9,12,8,.22857143,.40000001,-.8729105,-.57970768,-.69176066,-.54945779,1,1,1,1,1,,,,,,,,,,,,,,,Tekhand,12,1,8,1,15,1.6231838,0,0,0,0,1,0
TK287,1,1,1,More than 4 hours,6-7,12,11,.31428573,.40000001,.24879646,.27316323,-.1560069,-.049922474,1,4,3,2,2,1,0,0,Less than 1 hour,4-7,18,17,.5,.60000002,.72915429,.62668568,.68199009,.62969035,1,Tekhand,13,1,7,1,15,-1.3373805,0,0,0,1,0,0
TK288,1,1,1,More than 4 hours,8-9,8,8,.22857143,.26666668,.13508224,.15724504,-.38162166,-.22278289,1,3,2,2,1,0,1,0,,8-9,16,19,.54285717,.53333336,1.0174788,.82840073,.055821162,.11016738,1,Tekhand,13,1,8,0,15,-.5322324,0,0,0,0,1,0
TK289,0,0,0,,8-9,17,9,.25714287,.56666666,.21323478,.22023265,1.1436045,.96780527,0,2,4,2,3,0,0,1,,8-9,22,19,.54285717,.73333335,1.1168479,.88204747,1.4793539,1.3528329,1,Tekhand,14,1,9,1,16,.12410065,0,0,0,0,0,1
TK290,0,0,0,,8-9,6,12,.34285715,.2,-.081320152,-.099658579,-.49525368,-.25117296,0,2,2,1,1,0,0,1,,8-9,12,0,0,.40000001,,,-1.0394639,-.77468956,1,Tekhand,13,1,8,1,18,.12410065,0,0,0,0,1,0
TK291,0,0,0,,6-7,19,17,.48571429,.63333333,1.1476177,.97398067,.85953355,.7298215,0,5,5,3,3,0,0,1,,4-7,23,23,.67647058,.76666665,1.4277567,1.064809,1.5222976,1.2975802,1,Tekhand,11,1,7,0,17,-1.6351523,0,0,0,1,0,0
TK292,1,1,1,2-3 hours,6-7,16,16,.45714286,.53333336,.89632708,.78219223,.31116229,.33450478,1,5,4,3,2,0,0,1,,8-9,18,18,.51428574,.60000002,.72126734,.63417977,.46394446,.41458023,1,Tekhand,12,1,7,1,14,-2.8472116,0,0,0,1,0,0
TK295,1,1,0,3-4 hours,8-9,7,4,.11428571,.23333333,-.53978586,-.29457682,-.45784205,-.24002625,1,2,2,1,1,0,0,1,,8-9,12,11,.31428573,.40000001,-.36363956,-.14074481,-.13363637,-.052207444,1,Tekhand,14,1,8,1,17,-.57153755,0,0,0,0,1,0
TK296,1,1,1,More than 4 hours,6-7,21,16,.45714286,.69999999,.56174004,.48262817,1.3307971,1.0819396,1,4,5,3,3,0,0,1,,4-7,12,23,.67647058,.40000001,1.6544132,1.2930945,-.59133172,-.37120193,1,Tekhand,12,1,7,1,19,-.29574877,0,0,0,1,0,0
TK297,1,1,1,More than 4 hours,6-7,19,19,.54285717,.63333333,.83792615,.67179,.88434124,.78543794,1,5,5,3,3,0,0,1,,4-7,25,30,.88235295,.83333331,3.0159404,2.3355079,2.0083568,1.7731261,1,Tekhand,11,1,6,1,19,-1.4684789,0,0,1,0,0,0
TK298,0,0,0,,8-9,15,12,.34285715,.5,.44331643,.42592928,.75498992,.74926972,0,3,4,2,3,0,1,0,,8-9,14,12,.34285715,.46666667,-.53077257,-.34204808,-.025467578,.025166262,1,Tekhand,14,1,8,0,17,.92924875,0,0,0,0,1,0
TK299,0,0,0,,6-7,16,8,.22857143,.53333336,-1.7303756,-1.954605,.28997529,.33422029,0,1,4,1,2,0,0,1,,4-7,15,9,.2647059,.5,-.73960912,-.40598217,.06637048,.12509985,1,Tekhand,14,1,7,1,17,-1.7203732,0,0,0,1,0,0
TK300,0,0,0,,8-9,9,6,.17142858,.30000001,-.95070457,-.63040417,-.31471914,-.19272733,0,1,2,1,1,1,1,0,2-3 hours,8-9,22,14,.40000001,.73333335,.19698174,.23327768,1.4150003,1.2384005,1,Tekhand,14,1,8,1,14,1.3882389,0,0,0,0,1,0
TK301,0,0,0,,8-9,9,7,.2,.30000001,-.10605633,.0048036068,-.51354796,-.18785526,0,2,2,2,1,1,1,0,2-3 hours,8-9,13,13,.37142858,.43333334,-.28267425,-.12586027,-.37854475,-.21158567,1,Tekhand,14,1,8,1,14,.12410065,0,0,0,0,1,0
TK302,0,0,0,,6-7,11,3,.085714288,.36666667,-1.6992608,-1.2267172,-.35381392,-.21934779,0,1,3,1,2,0,0,1,,4-7,12,7,.20588236,.40000001,-1.1963611,-.78085977,-.96283102,-.71871555,1,Tekhand,12,1,6,0,14,2.1308188,0,0,1,0,0,0
TK303,1,1,0,1-2 hours,8-9,10,14,.40000001,.33333334,1.167551,1.0650071,.12211712,.26252386,1,4,3,3,2,,,,,,,,,,,,,,,Tekhand,,1,9,0,17,2.0947354,0,0,0,0,0,1
TK304,0,0,0,,8-9,13,14,.40000001,.43333334,-.7771408,-.71700978,.72470099,.65327489,0,1,4,1,2,,,,,,,,,,,,,,,Tekhand,,1,9,1,17,1.6909915,0,0,0,0,0,1
TK305,0,0,0,,8-9,20,15,.42857143,.66666669,1.4689885,1.2462081,1.1425555,1.0226556,0,5,5,3,3,0,0,0,,8-9,20,28,.80000001,.66666669,2.7075944,2.1029525,1.0628207,.90110862,0,Tekhand,,0,8,1,12,-.16027994,0,0,0,0,1,0
TK306,1,1,1,1-2 hours,6-7,17,13,.37142858,.56666666,.68011636,.62471026,.71025449,.71869081,1,5,5,3,3,1,1,0,2-3 hours,4-7,22,26,.7647059,.73333335,2.1584954,1.6664221,.97905493,.82560551,1,Tekhand,,0,6,0,12,1.6231838,0,0,1,0,0,0
TK307,1,1,1,1-2 hours,6-7,6,10,.2857143,.2,-.18504895,-.096140437,-1.4674661,-1.1432327,1,3,1,2,1,1,0,0,1-2 hours,4-7,11,17,.5,.36666667,.43287298,.43940306,-.45098051,-.28832942,1,Tekhand,,0,6,1,12,-.64344543,0,0,1,0,0,0
TK308,1,1,1,Less than 1 hour,6-7,13,14,.40000001,.43333334,.52652943,.50614333,-.34551454,-.24542893,1,5,3,3,2,0,0,1,,4-7,16,18,.52941179,.53333336,.56278926,.5525856,.28118303,.30760941,1,Tekhand,13,0,6,0,12,-3.6369667,0,0,1,0,0,0
TK309,1,1,1,1-2 hours,6-7,17,13,.37142858,.56666666,.41926792,.43590841,.51949328,.48205349,1,5,5,3,3,1,1,1,1-2 hours,4-7,19,28,.82352942,.63333333,2.3109696,1.9098657,.72478575,.67585522,1,Tekhand,13,0,6,1,12,-.92960346,0,0,1,0,0,0
TK310,1,1,1,1-2 hours,8-9,8,11,.31428573,.26666668,-.37553164,-.26859921,-.40427256,-.18785526,1,2,2,1,1,0,0,1,,8-9,12,15,.42857143,.40000001,.47444987,.45353532,-.57934952,-.38960508,1,Tekhand,15,0,9,1,13,.12410065,0,0,0,0,0,1
TK313,1,1,1,1-2 hours,6-7,8,15,.42857143,.26666668,.7652958,.71203738,-1.2321401,-.96547699,1,5,1,3,1,0,0,1,,4-7,10,15,.44117647,.33333334,.51468474,.45445344,-.51003587,-.30388418,1,Tekhand,10,0,6,0,13,-2.106704,0,0,1,0,0,0
TK314,1,0,0,1-2 hours,8-9,12,14,.40000001,.40000001,.86722493,.85308564,.1659369,.27075028,1,4,3,2,2,1,0,0,1-2 hours,8-9,17,24,.6857143,.56666666,1.9384402,1.5343134,.61446697,.56039613,1,Tekhand,,0,9,1,12,-2.106704,0,0,0,0,0,1
TK315,1,0,0,1-2 hours,8-9,9,19,.54285717,.30000001,2.1069944,1.7205081,-.16928908,.0042914529,1,5,2,3,1,,,,,,,,,,,,,,,Tekhand,13,0,9,1,12,-.87922013,0,0,0,0,0,1
TK316,1,0,0,1-2 hours,8-9,9,16,.45714286,.30000001,1.6522353,1.4360268,-.15705708,.0042914529,1,5,2,3,1,1,0,0,1-2 hours,8-9,23,25,.71428573,.76666665,2.1464479,1.6707742,1.6474326,1.4495931,1,Tekhand,,0,9,1,12,-1.8165129,0,0,0,0,0,1
TK317,1,0,1,1-2 hours,8-9,9,11,.31428573,.30000001,.52128851,.50479406,-.27620199,-.20654209,1,3,2,2,1,,,,,,,,,,,,,,,Tekhand,13,0,8,1,12,-.59600693,0,0,0,0,1,0
TK318,1,1,1,,8-9,12,12,.34285715,.40000001,.014781808,.016441071,.0092367278,.1480708,1,2,2,1,2,0,0,1,,8-9,12,16,.45714286,.40000001,-.23400846,-.060556646,-1.1709744,-.86999911,1,Tekhand,16,0,9,1,12,-1.4011551,0,0,0,0,0,1
TK319,0,1,0,,6-7,11,7,.2,.36666667,-.45163304,-.23719926,-.39694533,-.25252986,1,2,2,2,2,0,0,1,,4-7,18,12,.35294119,.60000002,-.54811335,-.29977509,.18163703,.16487549,1,Tekhand,10,0,7,1,12,-.73987031,0,0,0,1,0,0
TK320,0,0,0,,8-9,13,12,.34285715,.43333334,.7552371,.76193625,.27277154,.35081929,0,4,3,2,2,1,0,0,1-2 hours,8-9,14,19,.54285717,.46666667,.87431657,.74229109,.14214176,.15997888,1,Tekhand,,0,9,0,12,1.3256706,0,0,0,0,0,1
TK321,0,0,0,,6-7,11,12,.34285715,.36666667,-.081883945,-.0013921094,-.810588,-.58714402,0,3,2,2,1,0,0,0,,4-7,13,11,.32352942,.43333334,-.52539474,-.26732108,-.14742945,-.074525677,0,Tekhand,13,0,6,0,13,-2.106704,0,0,1,0,0,0
TK322,0,0,0,,6-7,11,12,.34285715,.36666667,-.23986299,-.1739471,-.34263766,-.21109679,0,2,3,2,2,0,0,1,,4-7,16,15,.44117647,.53333336,.45332578,.44751918,.051955886,.080352359,1,Tekhand,11,0,6,0,12,-.16027994,0,0,1,0,0,0
TK323,0,0,0,,8-9,17,7,.2,.56666666,-.86756378,-.6141687,.72817695,.66506678,0,1,4,1,3,0,1,0,,8-9,19,13,.37142858,.63333333,-.55995685,-.32757527,.91728783,.8251158,1,Tekhand,,0,9,0,13,-.34164047,0,0,0,0,0,1
TK327,1,1,1,Less than 1 hour,8-9,16,14,.40000001,.53333336,.87095749,.79518872,.62086725,.74229944,1,4,4,3,3,0,0,1,,8-9,21,23,.65714288,.69999999,1.5332875,1.1642458,1.0556551,1.0018016,1,Tekhand,,0,8,0,13,-.87922013,0,0,0,0,1,0
TK329,1,1,1,1-2 hours,8-9,12,13,.37142858,.40000001,1.2253172,1.0902122,.16689925,.3515951,1,5,3,3,2,1,0,0,More than 4 hours,8-9,16,25,.71428573,.53333336,2.0489347,1.5947173,.054207638,.07807862,1,Tekhand,,0,8,1,13,-1.3184066,0,0,0,0,1,0
TK330,0,0,0,,8-9,13,16,.45714286,.43333334,1.5403219,1.3875953,.51747549,.57667702,0,5,4,3,2,,,,,,,,,,,,,,,Tekhand,,0,9,1,13,-1.4011551,0,0,0,0,0,1
TK331,1,1,1,Less than 1 hour,8-9,15,14,.40000001,.5,1.4384862,1.2056719,.86304682,.76618612,1,5,4,3,3,0,0,1,,8-9,21,23,.65714288,.69999999,1.8340194,1.4502561,1.0094705,.85989678,1,Tekhand,,0,8,1,13,-2.106704,0,0,0,0,1,0
TK332,0,0,0,,8-9,11,18,.51428574,.36666667,1.9744461,1.5703276,-.0074400138,.093384095,0,5,2,3,1,,,,,,,,,,,,,,,Tekhand,15,0,9,1,19,.53365511,0,0,0,0,0,1
TK333,1,1,0,2-3 hours,6-7,10,10,.2857143,.33333334,.22099477,.20503096,-.68951011,-.49944025,1,4,2,2,2,0,0,1,,4-7,10,20,.58823532,.33333334,1.1583136,.96727538,-.6991151,-.5125137,1,Tekhand,12,0,6,1,12,-.63183159,0,0,1,0,0,0
TK334,0,0,0,,6-7,11,15,.42857143,.36666667,.7884053,.71115643,-.14807153,-.060897652,0,5,3,3,2,0,1,0,,4-7,12,21,.61764705,.40000001,1.1678075,.96374273,-.24988751,-.12295947,1,Tekhand,12,0,7,0,12,-.63183159,0,0,0,1,0,0
TK335,1,1,0,1-2 hours,8-9,13,8,.22857143,.43333334,-.46752268,-.28821853,.42403919,.45987231,1,2,3,1,2,,,,,,,,,,,,,,,Tekhand,12,0,9,0,13,-.54908311,0,0,0,0,0,1
TK336,0,1,0,,6-7,11,12,.34285715,.36666667,-.65916282,-.48469722,-.51305062,-.33319753,1,2,3,1,2,0,0,1,,4-7,17,11,.32352942,.56666666,-1.0359464,-.61693531,.066333517,.10378303,1,Tekhand,,0,6,0,13,-.018611643,0,0,1,0,0,0
TK339,0,0,1,,8-9,11,13,.37142858,.36666667,.50689858,.60823292,.18273409,.27823111,1,4,3,3,2,0,1,0,,8-9,24,19,.54285717,.80000001,.96082032,.81349027,1.5024817,1.3371723,1,Tekhand,,1,8,0,17,1.9881065,0,0,0,0,1,0
TK340,1,0,1,1-2 hours,8-9,15,12,.34285715,.5,.56866616,.53564715,.37986556,.41546261,1,4,3,2,2,,,,,,,,,,,,,,,Tekhand,,0,8,0,12,.92924875,0,0,0,0,1,0
TK341,0,0,0,,6-7,24,9,.25714287,.80000001,-1.4904443,-1.1814892,1.6483369,1.4532477,0,1,5,1,3,0,0,0,,4-7,25,14,.41176471,.83333331,-.049969032,.086249687,2.0019927,1.7572974,0,Tekhand,12,1,7,1,14,1.2895874,0,0,0,1,0,0
TK342,0,0,1,,6-7,8,15,.42857143,.26666668,.28717899,.28335834,-.99774104,-.73150694,1,4,2,2,1,1,0,0,Less than 1 hour,4-7,12,18,.52941179,.40000001,1.0605726,.87642205,-.70688313,-.48897001,1,Tekhand,,0,7,1,12,-2.1740279,0,0,0,1,0,0
TK343,0,0,1,,8-9,8,8,.22857143,.26666668,-.36239752,-.1761871,-.45522743,-.3292231,1,2,2,1,1,0,0,1,,8-9,19,15,.42857143,.63333333,.40191403,.38932773,.76287895,.63944972,1,Tekhand,,1,8,1,17,-1.3373805,0,0,0,0,1,0
TK344,0,0,0,,8-9,6,9,.25714287,.2,-1.4900459,-2.166265,-.65889895,-.46820018,0,1,1,1,1,0,1,0,,8-9,18,8,.22857143,.60000002,-1.1604795,-.77140319,.59066308,.55385947,1,Tekhand,,1,8,0,17,-.9738676,0,0,0,0,1,0
TK345,0,0,0,,8-9,4,12,.34285715,.13333334,.0015717609,.010444371,-1.0656779,-.95630825,0,2,1,2,1,1,0,0,,8-9,7,8,.22857143,.23333333,-1.1349033,-.76365346,-1.5063969,-1.1759642,1,Tekhand,,1,8,0,17,-1.3507718,0,0,0,0,1,0
TK346,0,0,1,,6-7,14,8,.22857143,.46666667,-.00085766189,.077981472,.19433613,.23021334,1,3,4,2,3,,,,,,,,,,,,,,,Tekhand,,1,6,1,17,.9176349,0,0,1,0,0,0
TK347,1,0,0,Less than 1 hour,8-9,7,7,.2,.23333333,-1.7895681,-1.6053678,-.48925915,-.26519448,1,1,1,1,1,0,1,0,,8-9,8,8,.22857143,.26666668,-1.3622144,-1.4104202,-1.1498473,-.84388751,1,Tekhand,14,1,9,0,17,-.17367122,0,0,0,0,0,1
